,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,Model,lowestRmse,
1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,glmnet,0.115665445,
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,glmnet,0.115665445,
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,glmnet,0.115665445,
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,glmnet,0.115670753,Without mean values of neighborhoods
1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,glmnet,0.116433079,
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,glmnet,0.116582819,"Without mean values of neighborhoods, removed neighborhood"
1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,glmnet,0.116582819,"Without mean values of neighborhoods, removed neighborhood"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,glmnet,0.116927252,Without mean values of neighborhoods
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,glmnet,0.119551237,
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,glmnet,0.119657031,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glmnet,0.119657031,
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,glmnet,0.119667709,
1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,glmnet,0.119807085,
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,glmnet,0.119936625,
1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,glmnet,0.119973201,
1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,glmnet,0.120042727,"remove YearBuilt, MoSold, MSSubClass"
1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,bayesglm,0.120459368,
1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,glmnet,0.120566906,"remove YearBuilt, MoSold, MSSubClass, OverallCond, OverallCond"
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,glmnet,0.121349778,
1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,glmnet,0.122105121,"remove YearBuilt, MoSold, MSSubClass, OverallCond, OverallCond"
1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,bayesglm,0.122143903,
1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,glmnet,0.122251936,"remove YearBuilt, MoSold, MSSubClass, OverallCond, OverallCond"
1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,svmlinear,0.122480911,
1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,glmnet,0.122606503,
1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,gbm,0.122654471,
1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,glmnet,0.123203544,"Without mean values of neighborhoods, removed neighborhood"
1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,svm,0.123515108,
1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,glmboost,0.123857818,
1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,glmnet,0.124569363,
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,glmnet,0.124683508,"remove YearBuilt, MoSold, MSSubClass, OverallCond, OverallCond, Neighborhood"
1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,glmnet,0.125372599,
1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,glmnet,0.125491036,
1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,glmnet,0.125566751,
1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,glmnet,0.12564369,
1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,glmnet,0.125644155,
1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,glmnet,0.125696946,
1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,glmnet,0.125762071,
1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,glmnet,0.125823186,
1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,glmnet,0.126199169,
1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,glmnet,0.126228337,
1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,glmnet,0.126289397,
1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,svm,0.126375816,
1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,glmnet,0.126581167,
1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,mars,0.127347551,
1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,svm,0.127556022,
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,glmnet,0.127623765,0.01
1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,gbm,0.128855521,
1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,mars,0.130011879,
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,glmnet,0.135933075,0.05
1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,nn,0.153031802,
